DISTRITO,CEP,LOGRADOURO
301,4301000,Avenida Miguel Estefno
303,4301001,Avenida Miguel Estefno
303,4301002,Avenida Miguel Estefno
301,4301004,PRAÇA WALDEMAR MARCHETTI
301,4301006,VIADUTO MINISTRO ALIOMAR BALEE
301,4301010,Avenida Miguel Estefno
301,4301010,Avenida Miguel Estefno
301,4301010,Avenida Miguel Estefno
301,4301010,Avenida Miguel Estefno
301,4301010,Avenida Miguel Estefno
301,4301010,Avenida Miguel Estefno
301,4301010,Avenida Miguel Estefno
301,4301011,Avenida Miguel Estefno
303,4301011,Avenida Miguel Estefno
301,4301011,Avenida Miguel Estefno
301,4301011,Avenida Miguel Estefno
301,4301011,Avenida Miguel Estefno
303,4301012,Avenida Miguel Estefno
303,4301030,ESTRADA DIVISOR DO PARQUE DO E
301,4302000,RUA APOTRIBU
301,4302010,RUA BIOBEDAS
301,4302020,RUA PARACATU
301,4302021,RUA PARACATU
301,4302022,RUA PARACATU
301,4302030,RUA BENTO ARANHA
301,4302040,RUA DOUTOR JOSÉ OSÓRIO DE OLIV
301,4302050,RUA IBITURUNA
301,4302051,RUA IBITURUNA
301,4302052,RUA IBITURUNA
301,4302060,RUA DAMASCENO VIEIRA FERNANDES
301,4302070,RUA PASQUALE TOTARO
301,4302080,RUA ANTÔNIO CALIXTO ABRÃO
301,4302090,RUA EDUARDO LOBO
301,4302100,RUA MANOEL PINTO MADUREIRA
301,4302110,RUA DEGROUX
301,4302120,RUA ALCATRAZ
302,4303000,Rua Aprígio Gonzaga
301,4303001,Rua Aprígio Gonzaga
301,4303010,RUA IRINEU REIS
301,4303020,RUA JORGE MASSARA FAGUNDES
301,4303030,TRAVESSA IRINEU REIS
302,4303040,RUA MARIA FAGNANI
301,4303050,TRAVESSA DEOCLECIANO FONSECA
301,4303060,RUA JUVÊNCIO GASPAR DA SILVA
301,4303070,RUA MUNHOZ DA ROCHA NETO
302,4303080,RUA MÁRIO AUGUSTO FERRÃO
302,4303090,RUA JOSÉ GOMES DA SILVA
302,4303100,RUA MARIA FARAH ISSA
302,4303110,RUA JUPAGUÁ
302,4303130,RUA TENENTE JOÃO PEREIRA DE AN
302,4303140,RUA DONA MARIA PERA
302,4303150,RUA AGHA RIZÃ
302,4303160,RUA DOMINGADA
302,4303170,RUA PANAMERICANA
302,4303180,RUA DOURO
302,4303190,RUA DOUTOR MAURÍCIO DE LACERDA
302,4303200,RUA DONA AUGUSTA GORGUEIRA
301,4303210,RUA GIRAU DO PONCIANO
302,4303220,RUA GUSTAVO NARKEVITZ
301,4303230,RUA DOM VIÇOSO
301,4303240,RUA DAMOPHON
302,4303250,RUA PALERMO
302,4303260,RUA JEAN ARP
302,4303270,RUA PALMIRA PALERMO
302,4304001,Avenida Fagundes Filho
302,4304020,RUA GUILHOBEL
302,4304030,RUA BERTO CONDE
302,4304050,RUA FRANCISCO MESQUITA
302,4304060,RUA SEBASTIÃO GUIMARÃES CORREA
302,4304070,RUA BRÁS SANGIOVANNI
302,4304080,RUA AMÂNCIO DE ANDRADE
302,4304090,RUA TERRITÓRIO DO AMAPÁ
302,4304110,RUA MAJOR FREIRE
302,4304111,RUA MAJOR FREIRE
302,4304120,RUA MASSARANDUBA
302,4305000,RUA DOS DEMOCRATAS
302,4305020,RUA ISAURA FREIRE
303,4305050,RUA GALEAZZO ALESSI
303,4305060,RUA AZEVEDO RIBEIRO
303,4305070,RUA PRUDENTE DE MORAES NETO
303,4306020,RUA SOARES DE AVELLAR
303,4306050,RUA EMÍLIA SORRENTINO
303,4306070,RUA JÚLIO CÉSAR ROCCA
303,4306090,RUA ABRAÃO MIGUEL DO CARMO
303,4307000,RUA CARLOS VILLALVA
303,4307010,RUA CAVIANA
303,4307030,RUA MIGUEL HERNANDEZ
303,4307040,RUA JORNALISTA CLÁUDIO ABRAMO
303,4307050,PRAÇA WHITAKER PENTEADO
303,4307060,RUA BRASÓPOLIS
303,4307065,RUA HERCÍLIO PEREIRA
303,4307070,RUA ARAPUÃ
303,4307080,VIADUTO ARAPUÃ
303,4307090,PRAÇA MOYSÉS KUHLMANN
303,4307100,RUA PROFESSOR SOUSA BARROS
303,4307110,RUA BENTO DE LEMOS
303,4307120,PRAÇA PADRE GREGÓRIO WESTRUPP
303,4308000,AVENIDA ENGENHEIRO ARMANDO DE
303,4308001,AVENIDA ENGENHEIRO ARMANDO DE
303,4308010,RUA HÉLIO LOURENÇO CAGNO
303,4308020,PRAÇA PADRE JOSÉ CONCEIÇÃO MEI
303,4309010,AVENIDA ENGENHEIRO ARMANDO DE
303,4309011,AVENIDA ENGENHEIRO ARMANDO DE
307,4320000,RUA GENERAL MANUEL VARGAS
307,4320010,PRAÇA JOSE LUZ
307,4320020,PRAÇA DÁCIO PIRES CORREIA
307,4320030,RUA DOS COMERCIÁRIOS
307,4320040,RUA ANITA COSTA
307,4320050,RUA TUPARAÍ
307,4320060,RUA SÃO BORJA
307,4320065,TRAVESSA TANQUE NOVO
307,4320070,RUA IBICUI -MIRIM
307,4320090,RUA JOÃO DE CASTRO REBELO
307,4320100,RUA FRANCISCO DUARTE GRAÇA
307,4320110,RUA ITAIARA
307,4320120,RUA ITAGUARA
307,4320140,RUA CORNÉLIO PIRES
307,4320150,RUA DOUTOR HEITOR RODRIGUES DE
307,4320155,TRAVESSA REVERENDO AUGUSTO PAE
306,4321000,RUA DOS BURITIS
306,4321001,RUA DOS BURITIS
306,4321002,RUA DOS BURITIS
306,4321020,RUA NADRA RAFFOUL MOKODSI
306,4321040,ALAMEDA IBIRACEMAS
306,4321070,RUA DAS SERINGUEIRAS
306,4321080,RUA GUACURIS
306,4321090,AVENIDA DOS JEQUITIBÁS
306,4321100,RUA CASSUARINAS
306,4321110,RUA DOS CAJUEIROS
306,4321120,RUA DAS PEROBAS
306,4321130,RUA FARJALLA KORAICHO
306,4321140,Rua dos Capinãs
306,4321150,RUA DAS BICUÍBAS
306,4321160,RUA DAS PITOMBEIRAS
306,4321170,RUA PINHEIRINHO
308,4323000,RUA OITEIRO
308,4323010,RUA CORONEL LUÍS DE FARIA E SO
307,4323020,RUA JOÃO TURRIANO
308,4323030,TRAVESSA ALBINO DOS SANTOS
308,4323040,RUA DOUTOR VALTER PINTO
308,4323050,RUA CAPITÃO VALDIR ALVES DE SI
308,4323060,RUA SANTA RITA DOESTE
308,4323070,RUA DAS ROLINHAS
308,4323080,RUA DOS PICA - PAUS
